iter	Passed	Remaining
299	919	2145
300	922	2141
301	924	2136
302	927	2132
303	929	2128
304	932	2123
305	935	2120
306	937	2117
307	941	2114
308	943	2110
309	946	2107
310	949	2103
311	952	2100
312	955	2098
313	959	2095
314	962	2092
315	964	2088
316	967	2084
317	970	2080
318	972	2076
319	976	2074
320	978	2070
321	981	2067
322	985	2064
323	989	2063
324	992	2061
325	995	2059
326	998	2055
327	1001	2052
328	1004	2049
329	1007	2045
330	1010	2042
331	1013	2038
332	1015	2034
333	1018	2030
334	1021	2027
335	1023	2023
336	1026	2019
337	1029	2015
338	1031	2011
339	1034	2007
340	1036	2003
341	1039	2000
342	1042	1996
343	1044	1992
344	1047	1988
345	1049	1984
346	1052	1980
347	1055	1977
348	1057	1973
349	1060	1969
350	1062	1965
351	1065	1961
352	1068	1957
353	1070	1953
354	1073	1949
355	1076	1946
356	1078	1943
357	1081	1940
358	1084	1936
359	1087	1934
360	1090	1930
361	1093	1927
362	1096	1923
363	1099	1920
364	1101	1916
365	1104	1912
366	1106	1909
367	1109	1905
368	1112	1901
369	1114	1898
370	1117	1894
371	1119	1890
372	1122	1886
373	1124	1882
374	1127	1878
375	1129	1875
376	1132	1871
377	1135	1868
378	1137	1864
379	1140	1860
380	1143	1857
381	1145	1853
382	1148	1849
383	1150	1845
384	1152	1841
385	1155	1838
386	1157	1834
387	1160	1830
388	1162	1826
389	1165	1822
390	1167	1819
391	1170	1815
392	1173	1811
393	1175	1808
394	1178	1804
395	1180	1801
396	1183	1797
397	1185	1793
398	1188	1790
399	1191	1786
400	1193	1783
401	1196	1779
402	1198	1775
403	1201	1771
404	1203	1768
405	1206	1764
406	1208	1761
407	1211	1757
408	1213	1753
409	1216	1750
410	1219	1747
411	1221	1743
412	1224	1740
413	1226	1736
414	1229	1733
415	1232	1730
416	1234	1726
417	1237	1723
418	1239	1719
419	1242	1715
420	1245	1712
421	1247	1708
422	1250	1705
423	1252	1702
424	1255	1698
425	1258	1695
426	1261	1692
427	1264	1689
428	1267	1686
429	1269	1683
430	1272	1679
431	1275	1676
432	1278	1673
433	1281	1670
434	1283	1667
435	1287	1665
436	1290	1662
437	1293	1659
438	1296	1656
439	1299	1653
440	1301	1650
441	1304	1646
442	1306	1643
443	1309	1639
444	1312	1636
445	1314	1632
446	1316	1629
447	1319	1625
448	1322	1622
449	1324	1618
450	1327	1615
451	1329	1612
452	1332	1608
453	1335	1606
454	1338	1602
455	1340	1599
456	1343	1595
457	1345	1592
458	1348	1589
459	1350	1585
460	1353	1582
461	1355	1578
462	1358	1575
463	1361	1573
464	1365	1570
465	1368	1568
466	1371	1565
467	1374	1562
468	1376	1558
469	1379	1555
470	1382	1552
471	1384	1549
472	1387	1545
473	1390	1542
474	1392	1539
475	1395	1536
476	1398	1533
477	1401	1530
478	1403	1526
479	1406	1523
480	1408	1520
481	1411	1516
482	1414	1513
483	1416	1510
484	1419	1506
485	1421	1503
486	1423	1499
487	1426	1496
488	1429	1493
489	1431	1489
490	1434	1486
491	1436	1483
492	1439	1479
493	1441	1476
494	1444	1473
495	1446	1470
496	1449	1466
497	1451	1463
498	1454	1460
499	1456	1456
500	1459	1453
501	1461	1450
502	1464	1446
503	1466	1443
504	1471	1442
505	1474	1439
506	1476	1436
507	1479	1432
508	1481	1429
509	1484	1426
510	1486	1422
511	1489	1419
512	1491	1416
513	1494	1413
514	1496	1409
515	1499	1406
516	1501	1403
517	1504	1399
518	1507	1396
519	1509	1393
520	1511	1390
521	1514	1386
522	1517	1383
523	1519	1380
524	1522	1377
525	1524	1373
526	1526	1370
527	1529	1367
528	1532	1364
529	1534	1360
530	1536	1357
531	1539	1354
532	1542	1351
533	1544	1347
534	1546	1344
535	1549	1341
536	1551	1337
537	1554	1334
538	1556	1331
539	1558	1328
540	1561	1324
541	1563	1321
542	1566	1318
543	1568	1315
544	1571	1311
545	1574	1308
546	1576	1305
547	1579	1302
548	1581	1299
549	1584	1296
550	1586	1293
551	1589	1289
552	1591	1286
553	1594	1283
554	1596	1280
555	1599	1277
556	1601	1273
557	1603	1270
558	1606	1267
559	1608	1264
560	1611	1260
561	1613	1257
562	1615	1254
563	1618	1251
564	1620	1247
565	1623	1244
566	1625	1241
567	1628	1238
568	1630	1235
569	1633	1232
570	1635	1228
571	1638	1225
572	1640	1222
573	1643	1219
574	1645	1216
575	1648	1213
576	1650	1210
577	1653	1207
578	1656	1204
579	1659	1201
580	1662	1198
581	1665	1196
582	1668	1193
583	1670	1190
584	1673	1186
585	1675	1183
586	1678	1180
587	1680	1177
588	1683	1174
589	1685	1171
590	1688	1168
591	1690	1165
592	1695	1163
593	1697	1160
594	1700	1157
595	1702	1154
596	1705	1151
597	1708	1148
598	1711	1145
599	1713	1142
600	1716	1139
601	1719	1136
602	1721	1133
603	1725	1130
604	1727	1128
605	1730	1125
606	1733	1122
607	1736	1119
608	1739	1116
609	1742	1113
610	1745	1111
611	1748	1108
612	1751	1105
613	1754	1102
614	1757	1100
615	1760	1097
616	1763	1094
617	1765	1091
618	1768	1088
619	1771	1085
620	1774	1082
621	1776	1079
622	1779	1076
623	1782	1073
624	1784	1070
625	1787	1068
626	1790	1065
627	1792	1062
628	1795	1059
629	1798	1056
630	1800	1053
631	1803	1050
632	1806	1047
633	1809	1044
634	1811	1041
635	1814	1038
636	1816	1035
637	1819	1032
638	1822	1029
639	1825	1026
640	1827	1023
641	1830	1020
642	1833	1017
643	1835	1014
644	1838	1011
645	1841	1008
646	1844	1006
647	1846	1003
648	1849	1000
649	1852	997
650	1854	994
651	1857	991
652	1860	988
653	1862	985
654	1865	982
655	1867	979
656	1870	976
657	1873	973
658	1876	970
659	1878	967
660	1881	965
661	1884	962
662	1887	959
663	1889	956
664	1892	953
665	1895	950
666	1897	947
667	1900	944
668	1903	941
669	1906	938
670	1909	936
671	1911	933
672	1914	930
673	1917	927
674	1919	924
675	1922	921
676	1925	918
677	1928	915
678	1930	912
679	1933	910
680	1936	907
681	1939	904
682	1942	901
683	1945	898
684	1948	896
685	1951	893
686	1953	890
687	1956	887
688	1958	884
689	1961	881
690	1963	878
691	1966	875
692	1968	872
693	1971	869
694	1973	866
695	1976	863
696	1978	860
697	1981	857
698	1983	854
699	1985	851
700	1988	848
701	1990	844
702	1993	842
703	1995	839
704	1998	836
705	2000	833
706	2002	830
707	2005	827
708	2007	824
709	2010	821
710	2012	817
711	2014	815
712	2017	811
713	2019	809
714	2021	805
715	2024	802
716	2026	799
717	2028	796
718	2031	793
719	2033	790
720	2036	787
721	2038	785
722	2041	782
723	2043	779
724	2046	776
725	2048	773
726	2050	770
727	2053	767
728	2055	764
729	2058	761
730	2060	758
731	2063	755
732	2065	752
733	2068	749
734	2070	746
735	2073	743
736	2075	740
737	2078	737
738	2080	734
739	2083	732
740	2085	729
741	2088	726
742	2090	723
743	2093	720
744	2095	717
745	2097	714
746	2100	711
747	2102	708
748	2105	705
749	2107	702
750	2110	699
751	2112	696
752	2115	693
753	2117	690
754	2120	688
755	2122	685
756	2125	682
757	2127	679
758	2130	676
759	2132	673
760	2135	670
761	2137	667
762	2140	664
763	2143	661
764	2145	659
765	2147	656
766	2150	653
767	2152	650
768	2155	647
769	2157	644
770	2160	641
771	2162	638
772	2164	635
773	2167	632
774	2169	629
775	2171	626
776	2174	624
777	2177	621
778	2179	618
779	2183	615
780	2185	612
781	2188	610
782	2191	607
783	2194	604
784	2196	601
785	2199	598
786	2201	595
787	2204	593
788	2207	590
789	2209	587
790	2212	584
791	2214	581
792	2217	578
793	2219	575
794	2221	572
795	2224	570
796	2227	567
797	2229	564
798	2231	561
799	2234	558
800	2237	555
801	2240	553
802	2242	550
803	2245	547
804	2248	544
805	2250	541
806	2253	539
807	2256	536
808	2259	533
809	2262	530
810	2264	527
811	2267	525
812	2270	522
813	2273	519
814	2275	516
815	2278	513
816	2281	510
817	2283	508
818	2286	505
819	2289	502
820	2292	499
821	2295	497
822	2297	494
823	2300	491
824	2303	488
825	2306	485
826	2309	483
827	2311	480
828	2314	477
829	2316	474
830	2319	471
831	2322	468
832	2324	466
833	2327	463
834	2330	460
835	2333	457
836	2335	454
837	2338	452
838	2341	449
839	2343	446
840	2346	443
841	2348	440
842	2351	437
843	2353	435
844	2356	432
845	2359	429
846	2361	426
847	2364	423
848	2366	420
849	2369	418
850	2372	415
851	2375	412
852	2378	409
853	2381	407
854	2384	404
855	2386	401
856	2389	398
857	2392	395
858	2395	393
859	2398	390
860	2401	387
861	2404	384
862	2407	382
863	2411	379
864	2414	376
865	2416	373
866	2420	371
867	2423	368
868	2426	365
869	2429	362
870	2431	360
871	2434	357
872	2437	354
873	2440	351
874	2444	349
875	2447	346
876	2449	343
877	2452	340
878	2455	338
879	2458	335
880	2461	332
881	2465	329
882	2468	327
883	2471	324
884	2474	321
885	2477	318
886	2479	315
887	2482	313
888	2485	310
889	2487	307
890	2490	304
891	2493	301
892	2495	299
893	2498	296
894	2501	293
895	2503	290
896	2506	287
897	2508	284
898	2511	282
899	2513	279
900	2516	276
901	2519	273
902	2521	270
903	2524	268
904	2526	265
905	2529	262
906	2531	259
907	2534	256
908	2536	253
909	2539	251
910	2541	248
911	2544	245
912	2546	242
913	2549	239
914	2552	237
915	2554	234
916	2557	231
917	2559	228
918	2562	225
919	2564	223
920	2567	220
921	2569	217
922	2572	214
923	2575	211
924	2577	209
925	2580	206
926	2583	203
927	2586	200
928	2588	197
929	2591	195
930	2594	192
931	2596	189
932	2599	186
933	2601	183
934	2604	181
935	2606	178
936	2609	175
937	2611	172
938	2614	169
939	2616	167
940	2618	164
941	2621	161
942	2623	158
943	2626	155
944	2628	152
945	2631	150
946	2633	147
947	2635	144
948	2638	141
949	2641	139
950	2643	136
951	2646	133
952	2648	130
953	2651	127
954	2653	125
955	2656	122
956	2658	119
957	2660	116
958	2663	113
959	2666	111
960	2668	108
961	2671	105
962	2674	102
963	2676	99
964	2678	97
965	2681	94
966	2683	91
967	2686	88
968	2689	86
969	2691	83
970	2694	80
971	2697	77
972	2700	74
973	2702	72
974	2705	69
975	2708	66
976	2710	63
977	2713	61
978	2715	58
979	2718	55
980	2720	52
981	2723	49
982	2725	47
983	2728	44
984	2730	41
985	2733	38
986	2735	36
987	2738	33
988	2741	30
989	2743	27
990	2746	24
991	2748	22
992	2750	19
993	2753	16
994	2755	13
995	2757	11
996	2760	8
997	2762	5
998	2765	2
999	2767	0
