iter	RMSE
548	2.557590111
549	2.55622818
550	2.553758701
551	2.552029163
552	2.550042291
553	2.548295956
554	2.545536472
555	2.544773341
556	2.544103942
557	2.54092046
558	2.539822618
559	2.538783591
560	2.537812942
561	2.536096106
562	2.534565766
563	2.533049589
564	2.532207381
565	2.530621455
566	2.529394689
567	2.527382493
568	2.52679107
569	2.523846984
570	2.522346802
571	2.521319211
572	2.519580205
573	2.518918578
574	2.516597407
575	2.515504556
576	2.513427996
577	2.511999591
578	2.511431542
579	2.509246495
580	2.5077452
581	2.506526337
582	2.504798688
583	2.503018911
584	2.501120806
585	2.499874719
586	2.498449334
587	2.496900502
588	2.495709575
589	2.493055841
590	2.491646906
591	2.489321518
592	2.488116436
593	2.487496122
594	2.486513704
595	2.485112846
596	2.483577811
597	2.482422587
598	2.481717349
599	2.480026777
600	2.478356199
601	2.476179599
602	2.474749708
603	2.474015223
604	2.471239079
605	2.469730314
606	2.468644133
607	2.466556403
608	2.466152844
609	2.464803059
610	2.463607027
611	2.462279906
612	2.460405016
613	2.459135327
614	2.4570685
615	2.45569632
616	2.454998094
617	2.453852154
618	2.451245064
619	2.450517817
620	2.449319454
621	2.448621366
622	2.447583447
623	2.446522291
624	2.445532075
625	2.444587857
626	2.443070302
627	2.442005406
628	2.440851368
629	2.440206259
630	2.439715577
631	2.439112125
632	2.43788195
633	2.436826588
634	2.435856406
635	2.434601671
636	2.433700891
637	2.432610853
638	2.431398695
639	2.430510736
640	2.429651316
641	2.428924197
642	2.427394066
643	2.427018391
644	2.42585262
645	2.425154994
646	2.423622314
647	2.422959617
648	2.421932082
649	2.421505717
650	2.420547997
651	2.419735474
652	2.419309539
653	2.418300841
654	2.417089729
655	2.414815895
656	2.413059844
657	2.411890808
658	2.40972774
659	2.407403939
660	2.405439344
661	2.404425598
662	2.404011867
663	2.40365018
664	2.403036141
665	2.40237657
666	2.400453137
667	2.399959171
668	2.399092033
669	2.398401847
670	2.397904472
671	2.397257602
672	2.396131018
673	2.395745156
674	2.395264146
675	2.394005347
676	2.393269684
677	2.392644282
678	2.392197867
679	2.391359377
680	2.391002956
681	2.39056185
682	2.390025751
683	2.389615122
684	2.388582502
685	2.387743701
686	2.3865473
687	2.38533496
688	2.383448154
689	2.380804329
690	2.379419882
691	2.377768684
692	2.375723985
693	2.374937336
694	2.374202132
695	2.37168787
696	2.370348825
697	2.369410062
698	2.367500755
699	2.366169735
700	2.365589191
701	2.364908816
702	2.363641407
703	2.362631649
704	2.361366682
705	2.360435296
706	2.360152116
707	2.35935135
708	2.357902463
709	2.357599119
710	2.356825751
711	2.354984208
712	2.354403539
713	2.353062609
714	2.352597172
715	2.352058659
716	2.351581043
717	2.350876719
718	2.34988103
719	2.34890378
720	2.347883649
721	2.347561414
722	2.345106965
723	2.342508908
724	2.341822291
725	2.341369865
726	2.33999853
727	2.339512894
728	2.339000047
729	2.337748417
730	2.335325603
731	2.334046454
732	2.33325571
733	2.331574818
734	2.329750676
735	2.328248353
736	2.326525344
737	2.324935149
738	2.324395251
739	2.323109259
740	2.322677508
741	2.3219764
742	2.320983197
743	2.319418903
744	2.317725528
745	2.316763639
746	2.315403542
747	2.314305452
748	2.313006783
749	2.312056632
750	2.311077023
751	2.310411939
752	2.309136744
753	2.30847005
754	2.306859482
755	2.306320732
756	2.306021984
757	2.304407596
758	2.303703949
759	2.302455242
760	2.300794729
761	2.29984736
762	2.299506495
763	2.299051366
764	2.298793501
765	2.298565784
766	2.297107989
767	2.296861796
768	2.29635611
769	2.29516185
770	2.294846334
771	2.293563074
772	2.291795816
773	2.291129469
774	2.290912342
775	2.290001579
776	2.289321241
777	2.289088053
778	2.288880186
779	2.287634063
780	2.286964695
781	2.286629509
782	2.285319249
783	2.284051071
784	2.283225085
785	2.282006937
786	2.280746225
787	2.280333436
788	2.278840232
789	2.277860485
790	2.277373651
791	2.276284023
792	2.274647091
793	2.273523087
794	2.271875661
795	2.270864428
796	2.269425366
797	2.26874734
798	2.267527799
799	2.265850233
800	2.264898142
801	2.263532967
802	2.262360582
803	2.261238753
804	2.260100847
805	2.25987623
806	2.259588192
807	2.258590173
808	2.257632954
809	2.256462139
810	2.255352066
811	2.253728079
812	2.252359655
813	2.251358486
814	2.250037795
815	2.249618472
816	2.24779132
817	2.245392519
818	2.244919027
819	2.243569045
820	2.242301834
821	2.241382128
822	2.240276185
823	2.239936572
824	2.239467059
825	2.238142161
826	2.237254433
827	2.236355131
828	2.235122393
829	2.234559988
830	2.233586211
831	2.232915479
832	2.231703615
833	2.231409255
834	2.230966802
835	2.229440236
836	2.228204366
837	2.226947825
838	2.225876683
839	2.224349179
840	2.223285649
841	2.222415747
842	2.222123862
843	2.221125131
844	2.219907619
845	2.21900374
846	2.2181267
847	2.216742025
848	2.215113246
849	2.213107105
850	2.211773312
851	2.210868727
852	2.209517272
853	2.208586489
854	2.207643019
855	2.207214482
856	2.205469258
857	2.204709551
858	2.204135748
859	2.202884772
860	2.200602032
861	2.200038141
862	2.199176343
863	2.198134228
864	2.197580806
865	2.1966201
866	2.19596538
867	2.195445878
868	2.193347521
869	2.192191566
870	2.191663215
871	2.189496162
872	2.188776789
873	2.188447682
874	2.187729075
875	2.186764593
876	2.18624588
877	2.18468192
878	2.183920564
879	2.182382106
880	2.180719639
881	2.180196589
882	2.179309602
883	2.17871273
884	2.177887869
885	2.176084114
886	2.17414471
887	2.173090155
888	2.172593571
889	2.171762416
890	2.169995268
891	2.169240424
892	2.168630985
893	2.167944711
894	2.166748298
895	2.165074601
896	2.164701296
897	2.163730188
898	2.162381227
899	2.161900608
900	2.160926768
901	2.160160647
902	2.159653113
903	2.159333452
904	2.158639027
905	2.158148348
906	2.15784011
907	2.157414294
908	2.15666008
909	2.156183076
910	2.155052579
911	2.15366129
912	2.151589008
913	2.150777846
914	2.15051174
915	2.149702593
916	2.148954318
917	2.148472624
918	2.147480978
919	2.147192324
920	2.146727743
921	2.14596637
922	2.145267085
923	2.145059894
924	2.144071487
925	2.143079089
926	2.142359691
927	2.141100999
928	2.140020083
929	2.139568755
930	2.139051013
931	2.138040431
932	2.137453287
933	2.136565868
934	2.136111872
935	2.134391515
936	2.134034954
937	2.133452977
938	2.13253641
939	2.131755938
940	2.131556108
941	2.130531924
942	2.128941676
943	2.128253563
944	2.127289641
945	2.126686071
946	2.126335963
947	2.12514103
948	2.12430013
949	2.123479063
950	2.122912682
951	2.121565463
952	2.120929302
953	2.120090176
954	2.119675393
955	2.118819534
956	2.117935307
957	2.117639303
958	2.116951193
959	2.115971603
960	2.115215678
961	2.114426758
962	2.113629324
963	2.112778879
964	2.112413817
965	2.111660589
966	2.110735002
967	2.110318094
968	2.109120141
969	2.108682599
970	2.107710193
971	2.106276488
972	2.106002285
973	2.104375493
974	2.103455846
975	2.102539661
976	2.101022734
977	2.100006981
978	2.099198975
979	2.098342894
980	2.096957887
981	2.096095852
982	2.095200906
983	2.093796873
984	2.092784273
985	2.091269349
986	2.090243561
987	2.089727433
988	2.089360164
989	2.088746252
990	2.087510583
991	2.087070078
992	2.086695634
993	2.085877827
994	2.085577368
995	2.084861785
996	2.083649463
997	2.082291193
998	2.081879477
999	2.080843418
